iter	RMSE
0	9.2988749
1	7.844763082
2	7.09469364
3	6.864669206
4	6.817570389
5	6.655197215
6	6.473045943
7	6.459041468
8	6.443407281
9	6.427013763
10	6.362031054
11	6.348363669
12	6.334013883
13	6.318937661
14	6.273773969
15	6.249767792
16	6.2409277
17	6.231196338
18	6.22361548
19	6.218865248
20	6.214998752
21	6.205177214
22	6.187591373
23	6.178143058
24	6.161574656
25	6.14267946
26	6.123470563
27	6.114322524
28	6.105988362
29	6.10096603
