iter	Passed	Remaining
0	3	89
1	14	197
2	18	164
3	21	140
4	24	123
5	28	113
6	31	102
7	33	93
8	39	93
9	44	88
10	47	81
11	50	76
12	53	70
13	57	65
14	60	60
15	71	62
16	74	57
17	78	52
18	111	64
19	114	57
20	117	50
21	121	44
22	125	38
23	128	32
24	133	26
25	137	21
26	142	15
27	145	10
28	159	5
29	161	0
