iter	Passed	Remaining
402	12368	141089
403	12394	141007
404	12419	140903
405	12441	140775
406	12480	140841
407	12508	140779
408	12532	140676
409	12554	140544
410	12580	140465
411	12607	140397
412	12625	140226
413	12643	140057
414	12667	139952
415	12725	140222
416	12774	140399
417	12854	140908
418	12918	141242
419	12995	141718
420	13042	141856
421	13104	142160
422	13184	142662
423	13241	142910
424	13282	142983
425	13319	143013
426	13358	143068
427	13406	143206
428	13461	143437
429	13528	143783
430	13578	143945
431	13627	144099
432	13658	144058
433	13687	144006
434	13772	144531
435	13813	144593
436	13846	144578
437	13913	144913
438	13961	145058
439	13997	145062
440	14041	145160
441	14087	145268
442	14122	145272
443	14161	145316
444	14233	145696
445	14280	145813
446	14326	145927
447	14425	146577
448	14542	147402
449	14625	147884
450	14693	148207
451	14760	148521
452	14818	148736
453	14852	148721
454	14877	148609
455	14914	148621
456	14969	148808
457	15021	148970
458	15057	148966
459	15081	148850
460	15116	148838
461	15158	148895
462	15196	148913
463	15295	149525
464	15313	149347
465	15349	149341
466	15385	149339
467	15426	149384
468	15470	149458
469	15516	149556
470	15557	149591
471	15585	149511
472	15608	149387
473	15632	149268
474	15649	149084
475	15675	148984
476	15700	148876
477	15721	148728
478	15741	148573
479	15769	148493
480	15809	148528
481	15830	148383
482	15867	148396
483	15892	148285
484	15912	148131
485	15970	148332
486	15991	148195
487	16008	148010
488	16032	147896
489	16049	147718
490	16070	147583
491	16087	147401
492	16106	147245
493	16127	147109
494	16151	146998
495	16171	146843
496	16192	146706
497	16211	146558
498	16238	146473
499	16258	146330
500	16277	146173
501	16298	146034
502	16319	145906
503	16349	145845
504	16383	145826
505	16426	145890
506	16449	145776
507	16470	145638
508	16488	145483
509	16516	145412
510	16540	145299
511	16585	145378
512	16614	145318
513	16639	145226
514	16658	145071
515	16677	144928
516	16695	144771
517	16714	144620
518	16738	144516
519	16766	144453
520	16796	144398
521	16832	144395
522	16884	144536
523	16921	144547
524	16970	144649
525	17051	145035
526	17094	145095
527	17122	145022
528	17153	144982
529	17182	144917
530	17225	144974
531	17254	144914
532	17304	145023
533	17346	145077
534	17385	145099
535	17414	145037
536	17452	145045
537	17485	145022
538	17526	145058
539	17546	144919
540	17588	144962
541	17623	144954
542	17663	144982
543	17708	145051
544	17766	145229
545	17805	145244
546	17851	145323
547	17896	145389
548	17918	145276
549	17940	145155
550	17980	145181
551	18016	145178
552	18048	145137
553	18086	145150
554	18161	145454
555	18212	145569
556	18239	145491
557	18279	145515
558	18310	145468
559	18354	145526
560	18434	145864
561	18505	146136
562	18533	146060
563	18566	146031
564	18598	145986
565	18638	146013
566	18688	146116
567	18734	146183
568	18787	146302
569	18829	146341
570	18893	146547
571	18934	146573
572	19005	146835
573	19030	146742
574	19085	146872
575	19132	146945
576	19234	147443
577	19278	147490
578	19329	147589
579	19375	147653
580	19392	147498
581	19425	147459
582	19467	147495
583	19545	147794
584	19588	147838
585	19627	147840
586	19663	147828
587	19709	147885
