iter	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false	F1:use_weights=true	F1:use_weights=false
111	0.4518952724	0.7930399504	0.7629333333	0.8007491327	0.4376976597
112	0.4515926635	0.793565927	0.7629333333	0.8013847692	0.4380530973
113	0.4510989178	0.793640912	0.7630666667	0.8014425892	0.4381915903
114	0.4506999356	0.7948428351	0.7633333333	0.802827099	0.439178515
115	0.4502920457	0.7960447582	0.7636	0.804208414	0.4401641932
116	0.4498464878	0.7964946682	0.7644	0.804555903	0.4409996836
117	0.4490846066	0.7965696532	0.7645333333	0.804613847	0.4411392405
118	0.4485578949	0.7970206447	0.7644	0.8051875112	0.4413531457
119	0.4481750426	0.7976216063	0.7645333333	0.8058762601	0.4418457649
120	0.447654096	0.7969445782	0.7652	0.8049036924	0.4418383518
121	0.4471171489	0.7984464413	0.766	0.8065143674	0.4433872502
122	0.4468154785	0.7965685716	0.7654666667	0.8043871968	0.4417645192
123	0.4464215768	0.7977704947	0.7657333333	0.8057674058	0.4427529337
124	0.4460163395	0.7973195032	0.7658666667	0.8051937466	0.4425396825
125	0.4455624656	0.7983714563	0.7658666667	0.8064563159	0.4432466709
126	0.4453896014	0.7984464413	0.766	0.8065143674	0.4433872502
127	0.444974175	0.7978454797	0.7658666667	0.8058254412	0.442893401
128	0.4445393006	0.7985964113	0.7662666667	0.8066304955	0.4436686766
129	0.4443002553	0.7988963513	0.7668	0.8068628521	0.4442326025
130	0.4440108176	0.7994212463	0.7677333333	0.8072697983	0.4452229299
131	0.4436274001	0.7993462613	0.7676	0.807211638	0.4450811843
132	0.4430733229	0.7997972528	0.7674666667	0.8077836345	0.4452926209
133	0.4427516012	0.7997972528	0.7674666667	0.8077836345	0.4452926209
134	0.4424165037	0.7995722978	0.7670666667	0.8076092061	0.4448681284
135	0.4421234132	0.7993462613	0.7676	0.807211638	0.4450811843
136	0.4416807493	0.7998722379	0.7676	0.8078417941	0.4454342984
137	0.4413630341	0.7997972528	0.7674666667	0.8077836345	0.4452926209
138	0.4411229364	0.8005481844	0.7678666667	0.8085874921	0.4460706332
139	0.4409448845	0.8005481844	0.7678666667	0.8085874921	0.4460706332
140	0.4405382507	0.8009980944	0.7686666667	0.8089367712	0.4469238126
141	0.440103181	0.801674041	0.7689333333	0.8096818621	0.4475613644
142	0.4396380271	0.8012980344	0.7692	0.8091697916	0.4474944143
143	0.4393159445	0.8006970729	0.7690666667	0.8084821023	0.4469987229
144	0.4389986496	0.8009231094	0.7685333333	0.808878537	0.4467813894
145	0.4386176301	0.8005471029	0.7688	0.8083656072	0.4467134652
146	0.4384720734	0.8006970729	0.7690666667	0.8084821023	0.4469987229
147	0.4380592413	0.8009220279	0.7694666667	0.8086569081	0.4474272931
148	0.4377015222	0.8003210663	0.7693333333	0.8079683762	0.4469309463
149	0.4374087638	0.8004710363	0.7696	0.8080849234	0.4472168906
150	0.4370690249	0.8008459613	0.7702666667	0.8083764386	0.4479333547
151	0.4364281319	0.8005460213	0.7697333333	0.8081432096	0.44736
152	0.436084461	0.8007709763	0.7701333333	0.8083181188	0.4477898783
153	0.4358460663	0.8008459613	0.7702666667	0.8083764386	0.4479333547
154	0.4355224548	0.8010719979	0.7697333333	0.8087734872	0.4477134634
155	0.4352059637	0.8011469829	0.7698666667	0.8088317894	0.4478566859
156	0.4349287148	0.8009970129	0.7696	0.8087151934	0.4475703325
157	0.434554697	0.8014469229	0.7704	0.8090650822	0.4484304933
158	0.434167781	0.8015968929	0.7706666667	0.8091817791	0.4487179487
159	0.4339731208	0.8017468629	0.7709333333	0.8092985096	0.4490057729
160	0.4335631364	0.8017468629	0.7709333333	0.8092985096	0.4490057729
161	0.4333419334	0.8017468629	0.7709333333	0.8092985096	0.4490057729
162	0.4330876653	0.8021228694	0.7706666667	0.8098112904	0.4490711083
163	0.4328134424	0.8025727794	0.7714666667	0.8101616278	0.4499358151
164	0.4324988956	0.803323711	0.7718666667	0.8109656704	0.4507223114
165	0.4322777521	0.8025727794	0.7714666667	0.8101616278	0.4499358151
166	0.4320043577	0.802798816	0.7709333333	0.8105567445	0.4497117233
167	0.4318037177	0.802723831	0.7708	0.8104983602	0.4495677233
168	0.4314329492	0.802423891	0.7702666667	0.810264907	0.4489926447
169	0.4309443199	0.8033247925	0.7709333333	0.8111846372	0.4500640205
170	0.4308318732	0.8033247925	0.7709333333	0.8111846372	0.4500640205
171	0.4305650597	0.8033997775	0.7710666667	0.8112430372	0.4502081332
172	0.4301566253	0.803023771	0.7713333333	0.8107319479	0.450144277
173	0.4299246049	0.803323711	0.7718666667	0.8109656704	0.4507223114
174	0.4292017713	0.8036997175	0.7716	0.8114767215	0.4507855082
175	0.4287703296	0.803623651	0.7724	0.8111995276	0.4513018322
176	0.4285006847	0.803698636	0.7725333333	0.8112580129	0.4514469453
177	0.4283422788	0.803923591	0.7729333333	0.8114335197	0.4518828452
178	0.427962879	0.8043745826	0.7728	0.8120030036	0.4520900322
179	0.4276641297	0.804148546	0.7733333333	0.8116091024	0.4523195876
180	0.4274467284	0.8048994776	0.7737333333	0.8124128063	0.4531098937
181	0.4271359532	0.8056504091	0.7741333333	0.8132158135	0.4539007092
182	0.4268440077	0.8064013407	0.7745333333	0.814018125	0.4546920348
183	0.4265941698	0.8064763257	0.7746666667	0.8140767669	0.4548387097
184	0.4263590537	0.8066262957	0.7749333333	0.814194076	0.4551323434
185	0.4261261748	0.8066262957	0.7749333333	0.814194076	0.4551323434
186	0.4259536197	0.8067762657	0.7752	0.814311419	0.4554263566
187	0.4256264812	0.8067762657	0.7752	0.814311419	0.4554263566
188	0.4255782216	0.8067012807	0.7750666667	0.8142527433	0.4552793026
189	0.4254404879	0.8067012807	0.7750666667	0.8142527433	0.4552793026
190	0.425321155	0.8066262957	0.7749333333	0.814194076	0.4551323434
191	0.4250630857	0.8066262957	0.7749333333	0.814194076	0.4551323434
192	0.4248902699	0.8073772272	0.7753333333	0.8149957895	0.4559250888
193	0.4246709937	0.8065513107	0.7748	0.8141354172	0.4549854792
194	0.4242432984	0.8067012807	0.7750666667	0.8142527433	0.4552793026
195	0.4241163123	0.8065513107	0.7748	0.8141354172	0.4549854792
196	0.4236446028	0.8067762657	0.7752	0.814311419	0.4554263566
197	0.4236319154	0.8068512507	0.7753333333	0.8143701032	0.4555735057
198	0.4234097058	0.8065513107	0.7748	0.8141354172	0.4549854792
199	0.4231623677	0.8072272572	0.7750666667	0.8148784157	0.4556308487
200	0.4227648486	0.8073022422	0.7752	0.8149370984	0.4557779212
201	0.4225120845	0.8072272572	0.7750666667	0.8148784157	0.4556308487
202	0.422145847	0.8073022422	0.7752	0.8149370984	0.4557779212
203	0.4219685959	0.8072272572	0.7750666667	0.8148784157	0.4556308487
204	0.4218499818	0.8070023022	0.7746666667	0.8147024184	0.4551901999
205	0.4217199751	0.8070772872	0.7748	0.8147610757	0.4553369881
206	0.4212727745	0.8070772872	0.7748	0.8147610757	0.4553369881
207	0.4211466586	0.8070772872	0.7748	0.8147610757	0.4553369881
208	0.4209656211	0.8073022422	0.7752	0.8149370984	0.4557779212
209	0.4208637826	0.8075271972	0.7756	0.8151131972	0.4562197092
210	0.4204816551	0.8078271372	0.7761333333	0.8153481139	0.4568100938
211	0.4203604454	0.8080520922	0.7765333333	0.8155243904	0.457253886
212	0.4200545053	0.8079021222	0.7762666667	0.8154068643	0.4569579288
213	0.4197724472	0.8080520922	0.7765333333	0.8155243904	0.457253886
214	0.4194989172	0.8083520323	0.7770666667	0.8157595442	0.457846952
215	0.4193416776	0.8082020622	0.7768	0.8156419504	0.4575502268
216	0.4189327525	0.8081270772	0.7766666667	0.8155831661	0.4574020084
217	0.4187513314	0.8083520323	0.7770666667	0.8157595442	0.457846952
218	0.4185237479	0.8085020023	0.7773333333	0.815877172	0.4581440623
219	0.4182942668	0.8084270173	0.7772	0.8158183539	0.457995459
220	0.4181341035	0.8082770473	0.7769333333	0.8157007431	0.4576985413
221	0.4180369791	0.8076760857	0.7768	0.8150161877	0.4571984436
222	0.4179608741	0.8077510707	0.7769333333	0.8150749735	0.4573467402
223	0.41764169	0.8087280388	0.7768	0.8162669004	0.4579015544
224	0.4174644516	0.8087280388	0.7768	0.8162669004	0.4579015544
225	0.4172743994	0.8088780088	0.7770666667	0.816384508	0.458198315
226	0.4170364359	0.8089529938	0.7772	0.8164433245	0.4583468395
227	0.416801422	0.8088030238	0.7769333333	0.8163256999	0.4580498866
228	0.4165754354	0.8088780088	0.7770666667	0.816384508	0.458198315
229	0.4164068508	0.8086519723	0.7776	0.8159948338	0.4584415584
230	0.416273559	0.8086519723	0.7776	0.8159948338	0.4584415584
231	0.4161361148	0.8087269573	0.7777333333	0.8160536774	0.4585904514
232	0.4159030289	0.8086519723	0.7776	0.8159948338	0.4584415584
233	0.4157870976	0.8086519723	0.7776	0.8159948338	0.4584415584
234	0.4154573676	0.8089519123	0.7781333333	0.8162302591	0.4590377113
235	0.414863401	0.8088769273	0.778	0.81617139	0.4588885278
236	0.4146799577	0.8100038654	0.7781333333	0.8174794838	0.4597402597
237	0.4145187831	0.8102288204	0.7785333333	0.8176561825	0.4601884953
238	0.4143855787	0.8100788504	0.7782666667	0.8175383749	0.4598895745
239	0.4140555613	0.8099277988	0.7789333333	0.8172087108	0.4602864583
240	0.4139098171	0.8105287604	0.7790666667	0.8178918996	0.4607875041
241	0.413761465	0.8100777688	0.7792	0.8173265899	0.4605863192
242	0.4136549281	0.8101527538	0.7793333333	0.8173855422	0.4607363962
243	0.4135723887	0.8100777688	0.7792	0.8173265899	0.4605863192
244	0.4133837691	0.8106787304	0.7793333333	0.8180098091	0.4610875936
245	0.4132771784	0.8104537754	0.7789333333	0.8178329576	0.4606376057
246	0.4131451046	0.8110547369	0.7790666667	0.8185153426	0.4611382114
247	0.4131117814	0.8111297219	0.7792	0.8185742997	0.4612882238
248	0.4129463365	0.8112047069	0.7793333333	0.8186332653	0.4614383339
249	0.4127235084	0.8112047069	0.7793333333	0.8186332653	0.4614383339
